# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.17
2                       4.47
4                       8.92
8                      17.82
16                     35.42
32                     69.96
64                    133.65
128                   266.10
256                   532.14
512                   915.37
1024                 1714.07
2048                 3196.13
4096                 2717.76
8192                 4394.75
16384                6807.50
32768                9004.01
65536               10167.11
131072              10502.05
262144              10650.43
524288              10784.78
1048576             10844.32
2097152             10887.76
4194304             10890.41
