# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.62
2                       0.63
4                       0.62
8                       0.69
16                      0.63
32                      0.63
64                      0.62
128                     0.70
256                     0.70
512                     0.84
1024                    0.90
2048                    1.04
4096                    2.00
8192                    2.85
16384                   4.31
32768                   6.58
65536                   9.38
131072                 15.40
262144                 27.23
524288                 51.76
1048576               111.34
2097152               228.21
4194304               450.32
