# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       1.95        1951544.67
2                       3.93        1962627.89
4                       7.78        1945892.87
8                      15.71        1964216.04
16                     31.44        1964878.53
32                     61.79        1930827.79
64                    121.31        1895494.46
128                   229.48        1792825.76
256                   459.16        1793580.27
512                   892.93        1744007.35
1024                 1679.48        1640113.40
2048                 3111.88        1519470.57
4096                 2736.64         668125.04
8192                 4360.61         532300.48
16384                6692.73         408491.67
32768                8762.85         267421.09
65536               10042.19         153231.73
131072              10411.45          79433.05
262144              10602.27          40444.47
524288              10746.13          20496.62
1048576             10835.41          10333.45
2097152             10913.03           5203.74
4194304             10918.61           2603.20
