# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.66
2                       0.67
4                       0.65
8                       0.67
16                      0.65
32                      0.69
64                      0.66
128                     0.78
256                     0.76
512                     0.97
1024                    1.04
2048                    1.19
4096                    2.10
8192                    2.94
16384                   4.39
32768                   6.52
65536                   9.57
131072                 15.90
262144                 28.03
524288                 52.54
1048576               111.70
2097152               230.57
4194304               458.39
