# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.68
2                       0.69
4                       0.68
8                       0.69
16                      0.70
32                      0.70
64                      0.67
128                     0.78
256                     0.80
512                     0.97
1024                    1.05
2048                    1.18
4096                    2.16
8192                    3.00
16384                   4.41
32768                   6.55
65536                   9.59
131072                 15.91
262144                 27.93
524288                 52.57
1048576               112.10
2097152               230.10
4194304               458.32
