# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.66
2                       0.67
4                       0.66
8                       0.67
16                      0.67
32                      0.68
64                      0.65
128                     0.75
256                     0.78
512                     0.93
1024                    1.01
2048                    1.16
4096                    2.11
8192                    2.91
16384                   4.38
32768                   6.61
65536                   9.72
131072                 15.67
262144                 28.27
524288                 53.25
1048576               111.60
2097152               229.22
4194304               458.54
