# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.70
2                       0.71
4                       0.67
8                       0.70
16                      0.66
32                      0.71
64                      0.68
128                     0.84
256                     0.75
512                     0.96
1024                    1.02
2048                    1.19
4096                    2.13
8192                    2.93
16384                   4.38
32768                   6.55
65536                   9.49
131072                 15.48
262144                 27.40
524288                 52.28
1048576               111.91
2097152               228.07
4194304               459.21
