# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.60
2                       0.60
4                       0.60
8                       0.60
16                      0.60
32                      0.60
64                      0.59
128                     0.64
256                     0.74
512                     0.96
1024                    0.90
2048                    1.04
4096                    1.93
8192                    2.80
16384                   4.22
32768                   6.50
65536                   9.48
131072                 15.23
262144                 27.43
524288                 52.95
1048576               110.29
2097152               225.83
4194304               449.14
