# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.68
2                       0.67
4                       0.68
8                       0.69
16                      0.68
32                      0.68
64                      0.66
128                     0.81
256                     0.76
512                     0.94
1024                    1.03
2048                    1.17
4096                    2.13
8192                    3.00
16384                   4.42
32768                   6.57
65536                   9.55
131072                 15.75
262144                 27.45
524288                 51.82
1048576               111.74
2097152               226.96
4194304               456.25
