# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.56
2                       5.34
4                      10.59
8                      21.23
16                     42.45
32                     85.43
64                    170.32
128                   321.82
256                   597.40
512                  1015.30
1024                 1846.34
2048                 3328.74
4096                 2989.62
8192                 4835.11
16384                7327.99
32768                9321.63
65536               10567.47
131072              10670.79
262144              10826.91
524288              10900.10
1048576             10891.51
2097152             10931.98
4194304             10932.70
