# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.81
2                       0.81
4                       0.78
8                       0.74
16                      0.74
32                      0.71
64                      0.71
128                     0.88
256                     0.80
512                     0.99
1024                    1.09
2048                    1.20
4096                    2.18
8192                    3.07
16384                   4.46
32768                   6.53
65536                   9.55
131072                 15.65
262144                 27.57
524288                 52.39
1048576               112.15
2097152               230.71
4194304               460.48
