# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.50
2                       5.44
4                      10.88
8                      21.68
16                     43.58
32                     86.62
64                    172.78
128                   325.53
256                   604.02
512                  1052.69
1024                 1905.09
2048                 3395.18
4096                 3021.13
8192                 4851.60
16384                7214.59
32768                9423.29
65536               10669.98
131072              10728.86
262144              10840.86
524288              10902.33
1048576             10949.98
2097152             10985.64
4194304             10995.70
