# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.52        2519523.35
2                       5.15        2576057.49
4                      10.34        2586109.15
8                      20.26        2532026.27
16                     41.12        2569953.22
32                     81.81        2556556.83
64                    163.89        2560712.90
128                   314.18        2454534.17
256                   578.75        2260743.57
512                  1002.33        1957677.58
1024                 1832.34        1789397.28
2048                 3243.86        1583915.26
4096                 3017.72         736748.15
8192                 4865.26         593903.48
16384                7434.40         453759.79
32768                9426.10         287661.78
65536               10677.01         162918.26
131072              10757.44          82072.77
262144              10893.39          41555.00
524288              10928.54          20844.53
1048576             10977.12          10468.60
2097152             11000.57           5245.48
4194304             11009.24           2624.81
