# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.69
2                       0.63
4                       0.62
8                       0.66
16                      0.63
32                      0.63
64                      0.63
128                     0.69
256                     0.72
512                     0.79
1024                    0.87
2048                    1.03
4096                    1.99
8192                    2.86
16384                   4.36
32768                   6.73
65536                   9.70
131072                 15.37
262144                 27.74
524288                 52.13
1048576               110.10
2097152               226.93
4194304               450.99
