# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.62
2                       0.66
4                       0.62
8                       0.66
16                      0.61
32                      0.66
64                      0.66
128                     0.71
256                     0.76
512                     0.90
1024                    1.00
2048                    1.13
4096                    2.05
8192                    2.89
16384                   4.34
32768                   6.57
65536                   9.59
131072                 15.87
262144                 27.81
524288                 53.31
1048576               110.77
2097152               227.66
4194304               454.66
