# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.67
2                       0.64
4                       0.65
8                       0.63
16                      0.64
32                      0.65
64                      0.74
128                     0.70
256                     0.74
512                     0.83
1024                    0.89
2048                    1.05
4096                    1.99
8192                    2.79
16384                   4.25
32768                   6.45
65536                   9.35
131072                 15.13
262144                 27.01
524288                 51.13
1048576               109.84
2097152               227.05
4194304               449.38
