# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.66
2                       0.67
4                       0.66
8                       0.67
16                      0.68
32                      0.68
64                      0.66
128                     0.81
256                     0.74
512                     0.95
1024                    1.04
2048                    1.15
4096                    2.10
8192                    2.95
16384                   4.37
32768                   6.50
65536                   9.55
131072                 15.82
262144                 27.74
524288                 52.58
1048576               112.38
2097152               228.92
4194304               456.37
