# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.30
2                       4.68
4                       9.23
8                      18.53
16                     36.44
32                     71.60
64                    136.38
128                   271.68
256                   544.66
512                   911.92
1024                 1740.37
2048                 3189.01
4096                 2743.23
8192                 4413.02
16384                6799.53
32768                8982.15
65536               10094.70
131072              10493.69
262144              10638.37
524288              10786.82
1048576             10882.65
2097152             10987.10
4194304             10968.92
