# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       1.90        1900316.47
2                       3.93        1966633.72
4                       7.79        1947464.88
8                      15.62        1952836.97
16                     31.07        1941587.34
32                     61.26        1914513.62
64                    120.62        1884635.73
128                   226.86        1772310.69
256                   458.90        1792564.69
512                   877.69        1714236.23
1024                 1675.26        1636000.77
2048                 3062.78        1495497.30
4096                 2637.24         643858.01
8192                 4345.36         530438.86
16384                6677.99         407592.11
32768                8789.68         268239.83
65536               10101.42         154135.44
131072              10468.30          79866.79
262144              10651.77          40633.28
524288              10737.68          20480.51
1048576             10802.42          10301.99
2097152             10860.35           5178.62
4194304             10926.67           2605.12
