# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.69
2                       0.64
4                       0.63
8                       0.64
16                      0.63
32                      0.64
64                      0.63
128                     0.67
256                     0.70
512                     0.91
1024                    0.86
2048                    1.00
4096                    2.00
8192                    2.82
16384                   4.25
32768                   6.54
65536                   9.45
131072                 15.18
262144                 27.11
524288                 51.17
1048576               110.10
2097152               225.92
4194304               454.81
