# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.67
2                       0.68
4                       0.64
8                       0.67
16                      0.67
32                      0.69
64                      0.63
128                     0.74
256                     0.78
512                     0.90
1024                    0.97
2048                    1.09
4096                    2.08
8192                    2.96
16384                   4.39
32768                   6.53
65536                   9.55
131072                 15.68
262144                 27.42
524288                 51.73
1048576               111.21
2097152               229.54
4194304               458.79
