# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.68
2                       0.69
4                       0.68
8                       0.70
16                      0.70
32                      0.71
64                      0.67
128                     0.81
256                     0.76
512                     0.93
1024                    1.03
2048                    1.18
4096                    2.10
8192                    2.99
16384                   4.39
32768                   6.58
65536                   9.63
131072                 15.58
262144                 28.42
524288                 54.00
1048576               111.98
2097152               229.04
4194304               457.48
