# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.65
2                       5.39
4                      10.74
8                      21.36
16                     43.08
32                     85.79
64                    171.98
128                   321.15
256                   590.89
512                  1008.14
1024                 1838.80
2048                 3251.84
4096                 2935.21
8192                 4718.80
16384                7449.45
32768                9441.74
65536               10674.03
131072              10740.40
262144              10840.38
524288              10893.72
1048576             10920.60
2097152             10997.15
4194304             10990.68
