# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.84
2                       0.74
4                       0.76
8                       0.60
16                      0.64
32                      0.60
64                      0.64
128                     0.62
256                     0.76
512                     0.93
1024                    0.97
2048                    1.00
4096                    1.97
8192                    2.82
16384                   4.32
32768                   6.54
65536                   9.38
131072                 15.38
262144                 27.26
524288                 53.08
1048576               110.61
2097152               226.11
4194304               449.34
