# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.64
2                       5.42
4                      10.76
8                      21.53
16                     43.18
32                     86.03
64                    172.99
128                   328.49
256                   593.93
512                   996.95
1024                 1796.11
2048                 3066.83
4096                 2809.85
8192                 4467.88
16384                7410.97
32768                9435.36
65536               10655.57
131072              10745.50
262144              10875.39
524288              10946.89
1048576             10962.07
2097152             11020.97
4194304             11016.04
