# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.00        1995458.40
2                       4.05        2026785.23
4                       8.04        2010604.75
8                      16.19        2023146.95
16                     32.08        2004882.08
32                     63.72        1991160.00
64                    125.70        1964116.57
128                   237.73        1857275.68
256                   474.54        1853669.64
512                   909.09        1775558.38
1024                 1729.19        1688664.51
2048                 3192.53        1558853.97
4096                 2768.26         675843.99
8192                 4482.79         547215.60
16384                6753.83         412221.23
32768                9107.10         277926.73
65536               10241.91         156279.13
131072              10510.23          80186.66
262144              10695.13          40798.67
524288              10796.99          20593.62
1048576             10867.01          10363.59
2097152             10950.23           5221.48
4194304             10959.15           2612.87
