# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.58
2                       5.39
4                      10.85
8                      21.66
16                     43.40
32                     86.56
64                    172.77
128                   327.31
256                   599.95
512                  1055.89
1024                 1930.73
2048                 3468.95
4096                 3093.18
8192                 4863.39
16384                7233.42
32768                9454.32
65536               10645.84
131072              10760.45
262144              10913.30
524288              10979.53
1048576             10976.86
2097152             11013.10
4194304             11017.19
