# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.62
2                       0.61
4                       0.67
8                       0.71
16                      0.73
32                      0.62
64                      0.62
128                     0.66
256                     0.72
512                     0.84
1024                    0.89
2048                    1.02
4096                    1.97
8192                    2.78
16384                   4.25
32768                   6.52
65536                   9.38
131072                 15.12
262144                 26.96
524288                 51.13
1048576               110.01
2097152               225.78
4194304               451.82
