# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.12
2                       4.47
4                       8.78
8                      17.74
16                     34.82
32                     68.91
64                    131.53
128                   264.46
256                   527.31
512                   905.04
1024                 1721.27
2048                 3178.85
4096                 2612.72
8192                 4295.76
16384                6780.37
32768                8934.80
65536               10134.27
131072              10473.80
262144              10618.16
524288              10746.16
1048576             10798.34
2097152             10850.85
4194304             10851.28
