# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.30
2                       4.61
4                       9.12
8                      18.16
16                     35.94
32                     70.52
64                    135.73
128                   270.87
256                   539.47
512                   942.63
1024                 1784.65
2048                 3209.23
4096                 2701.82
8192                 4456.79
16384                6945.42
32768                9083.99
65536               10245.11
131072              10527.83
262144              10716.69
524288              10860.50
1048576             10892.49
2097152             10943.44
4194304             10929.35
